transcription,recording_id,model_transcription
roger ,091_0996,ready
saudia one eight three contact rhein control one three two decimal four bye ,081_0450,saudia one eight three counder rhein control one three two decimal four bye
sabena nine five nine bonjour identified passeiry tour du pin flight level three one zero ,071_0497,sabenanen five nine bonjour identified passeiry to du pin flight level three one zero
ah eva three two one bonjour identified cleared passeiry la tour du pin flight level two nine zero ,071_0937,eva three to one bonjour identy five cleared passe rei la tour du bee flight level two nine zero
lufthansa five two one seven turn left to dinkelsbuhl delta kilo bravo ,041_0140,lufthansa five two one seven to and left two dinkelsvill date kilo bravo
okay make it heading ah two one two zero five ,092_0167,ill can make it heading two one two zero five
lufthansa eight two two one maintain three three zero proceed trasadingen please ,091_0430,lufthansa eight two two one main tain three three zero less trinserring place
merair six nine four four is identified proceed to tango romeo alfa climb to flight level two nine zero ,031_0665,me six nine four force identified proceed to tango romeo al the climb to flight level two nine zero
alitalia one one seven zurich one three three four ,041_0461,alitalia one one seven seris one three three four
lufthansa eight two six eight good morning maintain level two nine zero willisau st prex ,081_0200,lufthansa eighge two six eight good morning maintain level two nine r zero vi le sev st prex
swissair four eight eight climb to flight level three two zero ,092_0290,swisse four eight eight climb to flight level three two zero
malaysian four contact rhein one two seven decimal three seven ,061_0504,malaysian four quentec rhein one two seven desmal three seven
emirates two is identified ,011_0177,emrad stuis identified
ah london airtours one contact milano one three four decimal five two ,051_0317,ellananeto is one conteg milano one three four disimal five two
alitalia four eight five descend flight level two five zero ,091_0923,ali tele fo eight five decim flight able two timbs a well
transwede one zero seven set course direct st prex ,082_0062,treinsread one through seven sechostarec sempre
aero lloyd five one seven ah turn left to trasadingen ,081_0808,erloid five found seven ah turn left to thrusding
ah jet set one four two nine good morning radar contact ,012_0062,i jet set one four two nine good morning aweigh a contact
lufthansa four five eight two climb flight level three hundred ,041_0397,lufthansa four five eight two climb flight level three hundred
delta echo bravo contact now zurich one three three decimal four good bye ,101_0648,delta echo bravo contact at zurich one three three decimal four ge bye
airfrans six seven zero descend flight level two five zero rate at least two thousand five hundred ,101_0120,air rhein six seven zero decim fly level two five zero rate at least two thousand five hundred
lufthansa four three nine three contact now milan one three four five two ,081_0583,lufthansa four three nine three contact now meligne one three four five two
air berlin five zero eight one turn right to st prex ,081_0226,eberlen five zero eight one turn right two st prex
condor one zero four contact radar on one three three decimal four and state your heading to radar bye bye ,091_0362,condor one shroul four conser raider on one to re three decimal four instead your heading to reider bye bye
turkair nine two five good morning squawk one zero zero five ,091_0914,turga nine two five ge morning squawk one zero zero five
swissair eight zero six contact rhein one two seven three seven good day ,071_0004,sec eight zero six contact line one two seven three seven day
lufthansa four seven two three milan one three four five two good bye ,091_0566,lufthansa four seven two three millein one three four five two ge bye
speedbird ah one two f four contact rhein one two seven three seven ,051_0127,speedbird one two four contact rhein one two seven three seven
hapag lloyd three five five one guten tag radar contact ,012_0097,hopbaglloid three five five one guntac weihte contact
sabena eight zero six turn right by one five degrees climb flight level three four zero ,101_0468,sebeinight zero six term right by one five degrees climb flight lev a three force well
tarom three seven four is in radar contact ,021_0617,there arm three seven force in railair contact
tag lufthansa three five six six identified climb flight level two seven zero ,031_0173,tagl of on that three five six six identified climb fly over two seven zero
lufthansa three five seven seven rhein one three two one three two four tschuss ,092_0243,lufthansa three five seven seven rhein one three two one three two forches
oscar oscar papa hotel india rhein radar identified ,011_0107,osca oscar papa hotel india rhein radar identified
sabena three zero two contact rhein one two seven three seven tschuss ,031_0265,sabena tree zero two contact rhin one to seven three seven troips
and hotel bravo india ah disregard ,021_0568,an hotel bravo endyet a disregard
alitalia four eight five call zurich on one three three decimal four ,021_0464,alitalia four eight five call zurich on one three three desmall four
lufthansa three five five zero contact zurich one three four decimal six ,051_0284,lufthansa three five five zero contact zero one three four decimal six
portugalia five four three bonjour maintain flight level three one zero via st prex la tour du pin ,071_0721,to ge la five four three bonjour maintain flight level three one zero via sainprei la tour du per
blue five seven two turn now right direct to canne ,081_0198,blue five seven two turn ou right direct to canne
alitalia two nine two good morning squawk two seven six one ,111_0101,alitarie two nine two good mornings goo two seven six one
condor nine seven two turn left to sierra papa romeo ,111_0620,conna nine seven two t and left to sira papa romeo
sata nine six zero one bonjour cleared direct la tour du pin flight level three three zero ,071_0760,ta ten nine six zero one bonjour clear the dirclateo du pin flexteble three three zero
alitalia one one nine own navigation canne ,081_0689,ali that one one nine own navigation canne
midland seven two zero turn right by one five degrees ,011_0128,midleand seven two zero turn right by one five degrees
aero lloyd three eight one roger descend to flight level two five zero ,091_0147,i rei three eight one roger descent flight level two five zero
lufthansa three six zero four is identified climb to flight level three hundred ,041_0565,luftansa three six zero force identified climb to flight level three hundred
lufthansa four five seven five good morning radar contact continue climb flight level three one zero ,081_0655,lufthansa four five seven five ge morning radar contact continue climb flight of three ind zero
exact ,111_0627,exact
alitalia four one six contact now rhein control on one three two four ,101_0439,valitaile four one six contact nour rin control and one three two four
lufthansa four four one six right turn heading one eight zero ,071_0279,lufteinsare four four one six right turn heading one eight zero
bama one five zurich radar good morning identified maintain flight level three three zero trasadingen stand by ,091_0997,bama one five sure gueigharged morning identified maintain flight level three three zero trasadingen
tag delta mike echo identified climb flight level two seven zero ,021_0251,ta delta mike echo identified climb fly leble two seven zero
sierra alfa foxtrot one one two non r v s m you are identified ,021_0078,sierra alfa foxtrot one one two non arvy s m youre identified
ah roger turn ah left heading two one five to keep you within the airway ,092_0161,rochetune left it in two one five to keep youre within the air we
tag aero lloyd five six two identified climb flight level two seven zero ,021_0312,ten air lower five six two identified climb fly level two seven zero
alitalia one one nine call zurich on one three four decimal six ,012_0105,alitalia one one nine call surifon one three four the small six
sobelair two five two one contact rhein one three two decimal four tschuss ,031_0169,sobelair two five to one contact rhein one three two decimal fortress
lufthansa four two zero nine continue descent ah disregard ill call you back for further descent in a minute ,041_0620,lufthansa four two zero nine continue descent ah disregard i call you back for further descent in a minute
netherlands air force four one four rhein radar identified confirm non masp ,051_0068,netherlands air force four one four rhein radar identified confirm non masp
aero lloyd five nine zero continue climb to level three zero zero ,061_0268,airloid five nine zero continue climb the level three serosero
okay switch over to reims please ,101_0891,your case which over two runs please
okay ah descend to flight level three four zero and turn right one zero degrees ,081_0883,ok ah descent flight level three four zero and turn right one zero degrees
swissair four eight eight good morning radar contact ill call you back with further climb ,091_0364,swiss or four eigh eigh morning rei dir can sir and i call you about with for to climb
britannia three zero six alfa rhein radar one three two decimal four ,041_0141,letena three zero six alfa rhein redei one three two decimal four
nato ten contact rhein radar one two seven decimal three seven ,051_0793,nato ten contact ine rate one two seven decimal three seven
alitalia two one six identified cleared st prex arbos epinal climb to flight level three zero zero ,071_0668,litalia two one six identified clear del si prex arbocepinal climb flectible three zero zero
good morning german air force four nine zero one radar contact maintain flight level three four zero trasadingen st prex ,081_0963,ge morning german air force four nine zero one rei dir can sec maintain flight level three four zero three set in saibrex
speedbird seven seven whiskey whiskey contact reims one three four decimal four good day ,092_0407,speebeird seven seven whiskey whiskey contact reims one three four desmall fourk day
air malta four five zero contact rhein one three two decimal four bye bye ,092_0066,malta four five zero contact rhein one three two decimal four gebine
saudia one zero six good afternoon identified ,041_0029,sedeavansere six good afternoon identified
alitalia one five zero good afternoon identified ,051_0267,alitalia one five zero graphnoon identified
jat two seven three is identified ,051_0647,yet two seven three as identified
s ,021_0366,is
aero lloyd five six zero good morning radar contact maintain flight level three three zero trasadingen st prex ,091_0290,eroloive five six zero go morning radar contact maintain flight level twee three zero cross elling can prex
lufthansa four three nine three good morning radar contact proceed via trasadingen zurich east fusse ,082_0003,lufthansa four three nine three good morning rhei centeng preseed my three sering zurigies fu six
alitalia one five eight is cleared trasadingen direct to luxeuil ,101_0681,alita re one five eight is clear thraceding in direct to rixoi
delta papa alfa good morning radar contact ,021_0427,del the papa alpha good morning radar contact
lufthansa four four one six climb to flight level three one zero ,111_0175,lufthansa four four one six climb flight level three one zero
tag sabena eight three zero identified ,041_0213,tax been it re zero identified
delta mike echo climb now flight level three five zero ,051_0327,delta mike echo climb north light level three five zero
foxtrot sierra india rhein radar identified call you back for higher ,051_0009,fox sierra india rhein reider identified co back fire
aero lloyd five six two good morning ,111_0368,eraleight five six two good morning
lauda one zero nine from zurich ,101_0360,loud i one zero nine from zurich
rhein contact geneva one two eight decimal one five au revoir ,071_0836,in contact geneva one two eight decimal one five hour
ah delta echo charlie im not sure whether you got it you proceed to dinkelsbuhl ,011_0349,a delta echoed charlee im not sure whether you got it you proceed diec to dinklespille
foxtrot sierra india climb flight level three three zero set course trasadingen ,021_0005,fox sierra india climb flight level three three zero set constrasedingin
delta mike echo turn left one zero degrees ,101_0796,delta miche co turn left one zero degrees
golf juliett india turn right to trasadingen tango romeo alfa ,041_0052,gulf dulid india turn right to trensaring in tengeromialpha
turkish five one five contact rhein one two seven decimal three seven ,071_0289,turkish five one five quentec rhein one two seven desmal three seven
tag alitalia one one seven identified what is your rate of climb ,061_0043,tugh alitalia one one seven identified vadesier rate off climb
alitalia three hundred contact paris on one three three decimal eight two good bye ,081_0062,alitalia three hundred contact viries on one three three decimal eight two good bye
aero lloyd five one seven contact rhein control one two zero decimal nine two bye ,091_0898,air rad oi five one seven keinte reine control one two zero decim o nine o two bye
midland seven two zero set course to costa ,011_0136,midland seven two zero said case to costa
lufthansa four two zero nine rhein ,051_0294,lufthansa four two zero nine rhein
aero lloyd five six two proceed to hotel oscar charlie afterwards st prex flight planned route ,041_0733,erolloid five six two proceed to hotel oscar charlie afterwards me prex flight plant route
k l m three four six contact rhein one two seven three seven tschuss ,061_0413,charlem three for six contact line one to seven three seven trees
hapag lloyd three five five one zurich frequency one three three four tschu ,051_0567,huppeglod three five five one tseereige frequency one three three for tre
lufthansa four three nine three descend flight level three one zero ,091_0374,louftimes are four three nine are three design flight over three one zero
aviva nine zero eight one descend flight level three three zero rate two thousand ,111_0508,every one eigh zero eight one design flight eva twee twee zera right two thousand
roger ill call you back for further climb ,071_0632,ill jeycelly back prefer to climb
lufthansa four seven zero three good morning radar contact maintain flight level three four zero proceed zurich east fusse ,101_0280,lufthansa four seven zero three ge morning radar contact maintain flight leave three four zero force suregis fusse
swissair nine three five nine contact rhein one three two four tschuss ,021_0305,s was a nine three five nine contact rhein one tregh two fortress
oscar hotel india rhein radar identified ,031_0108,oscar hotel india rhin radar identified
viva nine zero eight one milan one three four five two good bye ,091_0654,viva nine zero eight one milleein one three four five two go bye
l t u seven seven five six climb to flight level three five zero ,072_0187,ill two seven seven five six flib to flight double three five zero
constellation two two five one contact rhein one three two decimal four ,061_0512,constellation two two five one contact line one three two dismal four
bama one five turn now right direct to zulu uniform echo ,051_0178,bama one five turn now right direct to zulu uniform echo
roger k l m three four six squawk two seven six six ,111_0631,rageird gelium three for six valk two seven six six
alitalia four one three climb to level two five zero direct trasadingen ,041_0542,alitalia four one three climb re level two five zero direct raciding
sabena four eight one turn to delta kilo bravo ,041_0404,sabena for eight one turn to dellecilo bravo
lufthansa four seven zero three zurich radar good afternoon maintain flight level three five zero ,101_0868,ofthansa four seven zero three zurich eight or good afternoon maintain flight level three five zero
air malta zero zero four call rhein one two seven three seven ,061_0279,a malta siro siro four call rhein one two seven three seven
lufthansa eight two two one ah milan one three four five two good bye ,081_0383,lufthansa eight two two one milan one three four five two bye
ah station calling say again the callsign please ,092_0117,a station calling second call in please
speedbird two five seven seven identified cleared aosta st prex rolampont and climb to flight level three four zero ,071_0710,speedbird two five seven seven identified clear del st s a bre rolpeou and climb two flectdeble three four zero
tunair four eight zero two contact rhein one two seven decimal three seven ,041_0761,tunair four eighd zero two contact rhein one to seven dismal three seven
jetaviation seven zero one descend to flight lev ah disregard maintain level three four zero ,092_0379,getivation seven zero one d cent flight lev air disregard maintain level three four zero
hallo alitalia four one three identified maintain two five zero upon reaching ,051_0617,awhile italia four one three identified maintain two five zero p on reaching
german air force five eight five set course to frankfurt ,031_0052,german air force five eight five set cross to frankfurt
alright one three three one five please ,101_0459,right one three three one five please
india lima oscar oscar kilo zurich radar good afternoon youre identified route trasadingen saronno maintain flight level two nine zero call you back for further climb ,101_0932,indelimoscr s kilo sergreidaghet afternoon air identifight route trasadingen saronno maintain flight level two nine zero call back for four climb
lufthansa eight two six eight call zurich on one three four decimal six ,012_0029,lufthansa eight two six eight call zurich on one three four desimal six
sabena nine three seven two calling ,081_0030,sebine nine three seven two calling
air portugal five one one three climb now correction air portugal four one one three climb to flight level three three zero ,081_0377,their portugal five one one three climbnad correction air portugal four one one three climb to flight level three three zero
swissair nine three five nine continue descent to flight level three one zero ,021_0663,swice nine three five nine air continue descent to flight level three one zero
roger what is your position ,101_0199,would you abody your position
ascot nine three one nine set course direct to rolampont ,071_0424,ascot nine three one nine set coast direct to hallo being
